Unnamed: 0,spotify_track_id,song_title,label,emotion,session_type,subject_id,id,song_author,alpha_power,beta_power,delta_power,theta_power,variance,mean
0,06s6aloy62vytl3MnT6gfl,"Times Like These - Live at the Pantages Theatre, Los Angeles, CA - August 2006",0,Amusement,personal,23,3784258358,['Foo Fighters'],2.2589613525805675e-12,1.0198033384531088e-12,4.6727431174670004e-11,4.411880505069472e-12,2.553563874320042e-10,2.3463057025308404e-09
1,0h9fnCSnbUgOEgibnQByFv,Everyday Life,2,Disappointment,personal,23,2395445698,['Coldplay'],2.269191222297565e-12,7.160126966371817e-13,2.629791933439196e-11,3.54197209741677e-12,2.0816587240797916e-10,1.0117825924604654e-08
2,1iArQTuOzxvrtniGmkyy92,Burden In My Hand,3,Anger,personal,23,3049220457,['Soundgarden'],3.8256353171576036e-12,1.182833071834059e-12,6.786012769212045e-11,5.654127237349396e-12,5.708280961713367e-10,-1.731397427612855e-07
3,3A9vIxzGBjEfqmDK7H9exS,Pyramid Song,3,Fear,personal,23,2667905835,['Radiohead'],3.852573281252621e-12,1.2204378544144345e-12,5.783147831643931e-11,6.408991418874709e-12,3.996516508256359e-10,1.92487254357158e-07
4,39kHMfF3dBMZMbOtoit1XF,On The Mend,0,Joy,personal,23,1281311748,['Foo Fighters'],3.88589926320515e-12,1.3894234616416288e-12,8.960010372686976e-11,7.100183982258749e-12,4.647377994159826e-10,6.473157294189976e-08
5,5sYAvst5lCs3Ws5MhExlSr,Mica Van Gogh,0,Interest,other,23,2608559859,['Caparezza'],3.1881509619802338e-12,9.700366902571257e-13,2.500621140056443e-11,4.074367449350399e-12,5.440809608411436e-10,5.04210460496707e-07
6,3unsLiH5FXmaDWtT5Imolu,Fallin',1,Contentment,other,23,2596145110,['Alicia Keys'],3.1984804195917572e-12,1.0866940443334424e-12,3.714906254585171e-11,4.059250166714765e-12,2.858146406092734e-10,-1.035063338967144e-07
7,0I3cUqffwmH2mMUHIfpC0l,Memory,1,Compassion,other,23,8309820898,['Barbra Streisand'],2.9692620340312845e-12,1.3577327180122705e-12,3.0320356531491594e-11,4.152099448863669e-12,2.512202136667241e-10,-1.4166743073023398e-07
8,4UnC0RwEgaBXhif5XhtfaP,Stupido Hotel,3,Contempt,other,23,7497445780,['Vasco Rossi'],3.5473988579562017e-12,1.3275464700462828e-12,1.122176861654567e-10,5.18143304662167e-12,5.407641583120329e-10,-8.734803118242742e-08
9,76IOzfO0FG2AJMTIt2tUPB,Bella,1,Contentment,other,23,6438333572,['Jovanotti'],3.0993972838721025e-12,1.0411864634890284e-12,3.140744940400463e-11,4.783023894551925e-12,1.7318508809002905e-10,8.666935600621348e-08
